1,AED,,2024-01-02T14:16:06.9086921Z,United Arab Emirates,Dirhams,29711234
2,AUD,,2024-01-02T14:16:06.9086921Z,Australia,Dollars,29711235
3,EGP,,2024-01-02T14:16:06.9086921Z,Egypt,Pounds,29711236
4,GBP,,2024-01-02T14:16:06.9086921Z,United Kingdom,Pounds,29711237
5,INR,,2024-01-02T14:16:06.9086921Z,India,Rupees,29711238
6,KWD,,2024-01-02T14:16:06.9086921Z,Kuwait,Dinars,29711239
7,PKR,,2024-01-02T14:16:06.9086921Z,Pakistan,Rupees,29711240
8,QAR,,2024-01-02T14:16:06.9086921Z,Qatar,Rials,29711241
9,SAR,,2024-01-02T14:16:06.9086921Z,Saudi Arabia,Riyals,29711242
10,USD,,2024-01-02T14:16:06.9086921Z,United States of America,Dollars,29711243
11,TRY,,2024-01-02T14:16:06.9086921Z,Turkey,Lira,29711244
