100,Utilities,,2024-01-02T14:16:06.9086921Z,1,29836432
200,Food,,2024-01-02T14:16:06.9086921Z,2,29836433
300,Beverages,,2024-01-02T14:16:06.9086921Z,2,29836434
400,Meat,,2024-01-02T14:16:06.9086921Z,2,29836435
500,Stationary,,2024-01-02T14:16:06.9086921Z,3,29836436
600,Kids,,2024-01-02T14:16:06.9086921Z,4,29836437
700,Adult,,2024-01-02T14:16:06.9086921Z,5,29836438
800,Electronics,,2024-01-02T14:16:06.9086921Z,6,29836439
900,Clothing,,2024-01-02T14:16:06.9086921Z,7,29836440
1000,Bathing,,2024-01-02T14:16:06.9086921Z,8,29836441
